,title,name,district,total_price,price,house_type,floor_loc,house_area,house_struc,archi_cate,house_toward,archi_struc,deco_condition,elevator_rate,elevator_equip
74,2号线世纪公园近地铁口+双南全明无遮挡,牡丹小区(浦东)二手房,浦东,510.0,69050,2室2厅1厨1卫,中楼层 (共6层),73.86,1,1,南,1,2,一梯两户,0
75,房东诚售，三街坊经典南北两房，位置好，楼层好,梅园三街坊二手房,浦东,590.0,114541,2室1厅1厨1卫,高楼层 (共6层),51.51,1,1,南 北,1,1,一梯四户,0
76,双南两室，楼层好，采光佳，视野开阔，无险恶设施,金杨七街坊二手房,浦东,280.0,50725,2室1厅1厨1卫,中楼层 (共6层),55.2,1,1,南,1,2,一梯四户,0
77,惊现平地一两房、中规中矩带阳台,曹杨九村二手房,普陀,239.0,55673,2室0厅1厨1卫,高楼层 (共6层),42.93,1,1,南,1,2,一梯七户,0
78,店东推荐+朝南带飘窗+高区视野好+税费少,蓝朝部落二手房,静安,315.0,100383,1室0厅1厨1卫,高楼层 (共31层),31.38,1,2,南,2,1,四梯二十四户,1
79,诚意出售，配套齐全，交通便利。,乐山六七村二手房,徐汇,480.0,83493,2室1厅1厨1卫,低楼层 (共7层),57.49,1,1,东南,1,1,一梯四户,0
80,东二+全明户型+交通便利+总价低,宛南二村二手房,徐汇,249.0,74240,1室1厅1厨1卫,高楼层 (共5层),33.54,1,1,南,1,2,一梯五户,0
81,由由七村 边套全明一室一厅 一楼带天井 精装近地铁,由由七村二手房,浦东,283.0,58351,1室1厅0厨1卫,低楼层 (共6层),48.5,1,1,南,1,1,一梯三户,0
82,朝向好，采光好，楼层好，视野开阔，业主诚心出售,月厦新天地二手房,松江,103.0,20809,1室0厅0厨1卫,中楼层 (共18层),49.5,1,2,南,2,2,三梯三十七户,1
83,忍痛出售，精装修，一梯两户 南北户型，中楼层采光好,巨峰家苑(公寓)二手房,浦东,588.0,55667,2室2厅1厨1卫,中楼层 (共13层),105.63,1,1,南 北,2,1,一梯两户,1
84,05年房龄，小区环境好，距离地铁近,虹康花苑(三期)二手房,长宁,599.0,76924,2室1厅1厨1卫,低楼层 (共6层),77.87,1,1,南,2,1,一梯两户,0
85,沿河边 飞机户型 中间楼层 满五唯一 精装 随时可看,经纬阳光水岸家园(一期)二手房,宝山,659.0,49985,3室2厅1厨2卫,中楼层 (共11层),131.84,1,1,南 北,2,1,一梯两户,1
86,精装小户型，好楼层，业主诚意出售,昭化路60弄二手房,长宁,193.0,60865,1室1厅1厨1卫,中楼层 (共6层),31.71,1,1,北,1,1,一梯五户,0
87,全明户型 南北通风 满五唯一 税费少 温馨自住装修,龙东大道5401弄二手房,浦东,145.0,35263,1室1厅1厨1卫,中楼层 (共6层),41.12,1,1,南,1,2,一梯两户,0
88,85年原建房 满五唯一 精装修 诚意出售,控江四村二手房,杨浦,310.0,61241,2室1厅1厨1卫,中楼层 (共6层),50.62,1,1,南 北,1,2,一梯四户,0
89,2016次新小区+看房随时+-产权车位+一梯一户,复地九月二手房,松江,548.0,46441,3室2厅1厨2卫,高楼层 (共18层),118.0,1,1,南 北,2,1,五梯三户,1
90,恒大小三房，户型正气，配套齐全，你值得拥有,恒大御景湾二手房,嘉定,388.0,42916,3室2厅1厨1卫,低楼层 (共17层),90.41,1,1,南 北,2,1,两梯四户,1
91,中间楼层 满五年不唯一 居家装修 诚意售房 方便看房,宛南六村二手房,徐汇,380.0,130809,1室0厅1厨1卫,中楼层 (共5层),29.05,1,1,南,1,1,一梯四户,0
92,地铁口，双轨交，低总价，朝南一室户,瞿溪路937弄二手房,黄浦,235.0,77075,1室1厅1厨1卫,中楼层 (共6层),30.49,1,1,南,1,2,一梯八户,0
93,楼层好 位置佳，一梯两户 看房方便,清涧四街坊二手房,普陀,360.0,49841,2室1厅1厨1卫,中楼层 (共6层),72.23,1,1,南,2,2,一梯两户,0
94,省时省心省装修的房子，领包入住！看房方便！,大江苑二手房,松江,259.0,28778,2室2厅1厨1卫,高楼层 (共6层),90.0,1,1,南 北,2,1,一梯两户,0
95,房子诚意出售+位置好+满五年不唯一+2号线金科路,张江汤臣豪园(三期)二手房,浦东,990.0,111525,3室2厅1厨1卫,低楼层 (共12层),88.77,1,1,南,2,1,一梯两户,1
96,精装一房，满五唯一，看房方便。位置好，视野佳！,华滨家园二手房,徐汇,395.0,72213,1室1厅1厨1卫,中楼层 (共12层),54.7,1,1,南,2,1,一梯三户,1
97,2012年次新房，钥匙房，临河位置景观，南北通采光好,海霞佳苑二手房,浦东,155.0,27729,1室1厅1厨1卫,低楼层 (共6层),55.9,1,1,南 北,2,2,一梯三户,0
98,内环内电梯住宅+免增值税+朝东一室,新领地二手房,浦东,205.0,42435,1室1厅1厨1卫,中楼层 (共29层),48.31,1,2,东,2,1,三梯十六户,1
99,满五唯一，户型正气，电梯大三房税费低,西郊虹韵城景雅苑二手房,闵行,423.0,37106,3室2厅2厨2卫,高楼层 (共12层),114.0,1,1,南,2,3,一梯三户,1
100,次新小区，环境佳，楼层好，采光好，交通便利,文化名园二手房,杨浦,432.0,66853,2室1厅1厨1卫,低楼层 (共6层),64.62,1,1,南,2,2,一梯四户,0
101,仁恒滨江大两房   精装修带新风地暖  买进价高税费低,仁恒滨江园二手房,浦东,1280.0,124284,2室2厅1厨2卫,低楼层 (共26层),102.99,1,1,西,2,0,两梯四户,1
102,总价较低两房，高区楼层，满五年税少，很诚意出售！,达安花园二手房,静安,799.0,76990,2室2厅1厨1卫,中楼层 (共28层),103.78,1,1,南 西南,2,2,三梯八户,1
103,2号线世纪公园地铁站+业主诚意出售+满五年唯一,金桂小区二手房,浦东,440.0,102756,1室1厅1厨1卫,高楼层 (共6层),42.82,1,1,南,1,1,一梯三户,0
104,内环内 次新房 物业管理好 总价低的三房两卫 带地暖,五月花都荟豪庭二手房,静安,1045.0,88432,3室2厅1厨2卫,中楼层 (共20层),118.17,1,1,南 北,2,1,两梯三户,1
105,户型正气，得房率高，业主诚意出售，您的安居选择,工农四村星源绿苑二手房,杨浦,275.0,46157,2室1厅1厨1卫,高楼层 (共6层),59.58,1,1,南,1,1,一梯三户,0
106,94年房龄，中间楼层，朝南采光好，业主诚意出售，,江苏北路105弄二手房,长宁,248.0,70116,1室1厅1厨1卫,中楼层 (共7层),35.37,1,1,南,2,2,一梯五户,0
107,楼层佳，南北户型，带大阳台，采光好，业主诚意出售,金牛苑二手房,徐汇,518.0,57639,2室2厅1厨1卫,中楼层 (共6层),89.87,1,1,南,1,2,一梯两户,0
108,一手动迁，中间楼层，中等装修，南北通风，诚心出售,新德佳苑二手房,浦东,420.0,42216,3室2厅1厨1卫,中楼层 (共6层),99.49,1,1,南,2,1,一梯四户,0
109,双南、中间楼层、精装修3年、拎包入住,市光四村二手房,杨浦,309.0,57693,2室1厅1厨1卫,中楼层 (共6层),53.56,1,1,南,1,1,一梯四户,0
